method,isotope,abundance
Lu-Hf,Hf174,0.00871
Lu-Hf,Hf177,1.00000
Lu-Hf,Hf178,1.46710
Lu-Hf,Hf179,0.73250
Lu-Hf,Hf180,1.88651
Rb-Sr,Sr84,0.056549
Rb-Sr,Sr86,1.00000
Rb-Sr,Sr88,8.37861
K-Ca,Ca42,0.310257
K-Ca,Ca43,0.064762
K-Ca,Ca44,1.000000
K-Ca,Ca46,0.002061
K-Ca,Ca48,0.089741
